employer_name,count,sum_of_total_workers,e_name,certified_number
"NEURO-CARE OF VIRGINIA, PC",2,2,"NEURO-CARE OF VIRGINIA, PC",2
CORTZ INC.,2,2,CORTZ INC.,2
NETWORK SPECIALTY GROUP INC.,2,2,NETWORK SPECIALTY GROUP INC.,2
BEACON FUNDING CORPORATION,2,2,BEACON FUNDING CORPORATION,2
TOWNSQUARED INC,3,3,TOWNSQUARED INC,2
LAW OFFICES OF JOHN C AKBULUT,2,2,LAW OFFICES OF JOHN C AKBULUT,2
"V.J. TECHNOLOGIES, INC.",2,2,"V.J. TECHNOLOGIES, INC.",2
COSCIA DAY ARCHITECTURE AND DESIGN,2,2,COSCIA DAY ARCHITECTURE AND DESIGN,2
TARGET CORPORATION,2,2,TARGET CORPORATION,2
COSHOCTON COUNTY MEMORIAL HOSPITAL ASSOCIATION,2,2,COSHOCTON COUNTY MEMORIAL HOSPITAL ASSOCIATION,2
"V3 USA, INC.",2,2,"V3 USA, INC.",2
BEACON HEALTH SOLUTIONS LLC,2,2,BEACON HEALTH SOLUTIONS LLC,2
VA ANN ARBOR HEALTHCARE SYSTEM,2,2,VA ANN ARBOR HEALTHCARE SYSTEM,2
ADVENTIST HEALTH SYSTEM,2,2,ADVENTIST HEALTH SYSTEM,2
VA CENTRAL CALIFORNIA HCS,2,2,VA CENTRAL CALIFORNIA HCS,2
LAW OFFICES OF KELLY H. BU,2,2,LAW OFFICES OF KELLY H. BU,2
"TAPSENSE, INC.",2,2,"TAPSENSE, INC.",2
"COSMETICS & PERFUMES FILLING & PACKAGING, INC.",2,2,"COSMETICS & PERFUMES FILLING & PACKAGING, INC.",2
"NETSCOUT SYSTEMS TEXAS, LLC",2,2,"NETSCOUT SYSTEMS TEXAS, LLC",2
ADVENTIST GLEN OAKS HOSPITAL,2,2,ADVENTIST GLEN OAKS HOSPITAL,2
TAOS MOUNTAIN LLC,2,2,TAOS MOUNTAIN LLC,2
BEACON MEDICAL GROUP,3,3,BEACON MEDICAL GROUP,2
VACON INC.,2,2,VACON INC.,2
COSMO INTERNATIONAL CORP.,3,3,COSMO INTERNATIONAL CORP.,2
"TAPANAM ASSOCIATES, INC.",2,2,"TAPANAM ASSOCIATES, INC.",2
LAW OFFICES OF KWANGSOO KIM,2,2,LAW OFFICES OF KWANGSOO KIM,2
TAPQA LLC,2,2,TAPQA LLC,2
"COSMOLEDO, LLC",2,2,"COSMOLEDO, LLC",2
"VAIL & KNAUTH, LLP",2,2,"VAIL & KNAUTH, LLP",2
COSMOPOLITAN FOOD GROUP INC.,2,2,COSMOPOLITAN FOOD GROUP INC.,2
TANIUS TECHNOLOGY LLC.,2,2,TANIUS TECHNOLOGY LLC.,2
AMERICAN RAILWAY SUPPLY CORP,2,2,AMERICAN RAILWAY SUPPLY CORP,2
"TARGET INTERNATIONAL STUDENT CENTER INC.,",2,2,"TARGET INTERNATIONAL STUDENT CENTER INC.,",2
BEACON PHARMACY LLC,2,2,BEACON PHARMACY LLC,2
"TALIS CLINICAL, LLC",3,3,"TALIS CLINICAL, LLC",2
LAW OFFICES OF LUDOVICO APRIGLIANO,2,2,LAW OFFICES OF LUDOVICO APRIGLIANO,2
TALENTREEF INC.,2,2,TALENTREEF INC.,2
"INOVVO, LLC",2,2,"INOVVO, LLC",2
"TASKSTREAM, LLC",2,2,"TASKSTREAM, LLC",2
FEDERATE SYSTEMS CORPORATION,2,2,FEDERATE SYSTEMS CORPORATION,2
TOWN OF WEST HARTFORD,2,2,TOWN OF WEST HARTFORD,2
GLOBUS IT INC.,2,2,GLOBUS IT INC.,2
TAVAS SYSTEMS LLC,2,2,TAVAS SYSTEMS LLC,2
"BEALL'S, INC.",3,3,"BEALL'S, INC.",2
TAYLOR & TAYLOR ASSOCIATES INC.,2,2,TAYLOR & TAYLOR ASSOCIATES INC.,2
COT INC,3,3,COT INC,2
"TAKRAF USA, INC.",2,2,"TAKRAF USA, INC.",2
LAW OFFICES OF MARY CARMEN R. MADRID-CROST,4,4,LAW OFFICES OF MARY CARMEN R. MADRID-CROST,2
"NEERA INTERNATIONAL, INC.",2,2,"NEERA INTERNATIONAL, INC.",2
INPATIENT CONSULTANTS OF KANSAS PA,2,2,INPATIENT CONSULTANTS OF KANSAS PA,2
"TAKEDA DEVELOPMENT CENTER AMERICAS, INC.",2,2,"TAKEDA DEVELOPMENT CENTER AMERICAS, INC.",2
LAW OFFICES OF MELANIE M YANG,5,5,LAW OFFICES OF MELANIE M YANG,2
"NEBRASKA PEDIATRIC PRACTICE, INC",2,2,"NEBRASKA PEDIATRIC PRACTICE, INC",2
LAW OFFICES OF MICHAEL J. ZHANG,3,3,LAW OFFICES OF MICHAEL J. ZHANG,2
"VALIDUS AMERICA, INC",2,2,"VALIDUS AMERICA, INC",2
"GREEN AMERICA SOLUTIONS, LLC",2,2,"GREEN AMERICA SOLUTIONS, LLC",2
NDT GLOBAL LLC,2,2,NDT GLOBAL LLC,2
BEAUMONT INDEPENDENT SCHOOL DISTRICT,2,2,BEAUMONT INDEPENDENT SCHOOL DISTRICT,2
"TBD PIZZA, INC.",2,2,"TBD PIZZA, INC.",2
"BEASLEY, MITCHELL & CO. LLP",2,2,"BEASLEY, MITCHELL & CO. LLP",2
"PACTRANS AIR & SEA, INC.",2,2,"PACTRANS AIR & SEA, INC.",2
"COTT SYSTEMS, INC.",2,2,"COTT SYSTEMS, INC.",2
"NCS ENERGY SERVICES, LLC",2,2,"NCS ENERGY SERVICES, LLC",2
COTTEY COLLEGE,2,2,COTTEY COLLEGE,2
"TCC MULTI-FAMILY INTERIORS, INC.(FORMERLY:TEXAS CONTRACT CARPET, INC.)",2,2,"TCC MULTI-FAMILY INTERIORS, INC.(FORMERLY:TEXAS CONTRACT CARPET, INC.)",2
"LAW OFFICES OF RAY HSU & ASSOCIATES, P.C.",2,2,"LAW OFFICES OF RAY HSU & ASSOCIATES, P.C.",2
TAHOE PARTNERS LLC,2,2,TAHOE PARTNERS LLC,2
AMERICAN RESEARCH CENTER FOR IVY LEAGUE EDUCATION INC,2,2,AMERICAN RESEARCH CENTER FOR IVY LEAGUE EDUCATION INC,2
"VALMET, INC.",5,5,"VALMET, INC.",2
"AMERICAN REGIONAL CENTER GROUP, LLC",2,2,"AMERICAN REGIONAL CENTER GROUP, LLC",2
"TADJER-COHEN-EDELSON ASSOCIATES, INC.",2,2,"TADJER-COHEN-EDELSON ASSOCIATES, INC.",2
HUDSON SHERATON CORPORATION,2,2,HUDSON SHERATON CORPORATION,2
"VALQUA AMERICA, INC.",2,2,"VALQUA AMERICA, INC.",2
ADVENTIST HEALTH UKIAH VALLEY MEDICAL CENTER,2,2,ADVENTIST HEALTH UKIAH VALLEY MEDICAL CENTER,2
NAVITAS USA HOLDINGS LLC,3,3,NAVITAS USA HOLDINGS LLC,2
BEBOPBEE,2,2,BEBOPBEE,2
"TDY INDUSTRIES, LLC",2,2,"TDY INDUSTRIES, LLC",2
"COUCHSURFING INTERNATIONAL, INC.",2,2,"COUCHSURFING INTERNATIONAL, INC.",2
"TEALAB, LLC.",2,2,"TEALAB, LLC.",2
"HUCKABEE, INC.",2,2,"HUCKABEE, INC.",2
NATUREWORKS LLC,2,2,NATUREWORKS LLC,2
"AMERICAN SAVINGS BANK, FSB",4,4,"AMERICAN SAVINGS BANK, FSB",2
"TACHYON NEXUS, INC.",2,2,"TACHYON NEXUS, INC.",2
COUNCIL ON ALCOHOL AND DRUG ABUSE,2,2,COUNCIL ON ALCOHOL AND DRUG ABUSE,2
"TABORDA SOLUTIONS, INC.",2,2,"TABORDA SOLUTIONS, INC.",2
"BECHT ENGINEERING CO., INC.",2,2,"BECHT ENGINEERING CO., INC.",2
TAAG AMERICAS LLC,2,2,TAAG AMERICAS LLC,2
"BECHTEL EQUIPMENT OPERATIONS, INC.",2,2,"BECHTEL EQUIPMENT OPERATIONS, INC.",2
"TECHAFFINITY CONSULTING, INC",2,2,"TECHAFFINITY CONSULTING, INC",2
BECHTEL GLOBAL CORPORATION,4,4,BECHTEL GLOBAL CORPORATION,2
NATIONAL RIFLE ASSOCIATION,2,2,NATIONAL RIFLE ASSOCIATION,2
"INPATIENT CONSULTANTS OF MICHIGAN, P.C.",2,2,"INPATIENT CONSULTANTS OF MICHIGAN, P.C.",2
TOUCHTUNES MUSIC CORPORATION,3,3,TOUCHTUNES MUSIC CORPORATION,2
INPATIENT CONSULTANTS OF MASSACHUSETTS,2,2,INPATIENT CONSULTANTS OF MASSACHUSETTS,2
"T2 TECHNOLOGY GROUP, LLC",2,2,"T2 TECHNOLOGY GROUP, LLC",2
HENDRICKS COMMUNITY HOSPITAL ASSOCIATION & RETIREMENT HOME,2,2,HENDRICKS COMMUNITY HOSPITAL ASSOCIATION & RETIREMENT HOME,2
"TECHCODE ACCELERATOR US, INC.",2,2,"TECHCODE ACCELERATOR US, INC.",2
AMERICAN SECURITY INSURANCE COMPANY,3,3,AMERICAN SECURITY INSURANCE COMPANY,2
"T.G. MERCER CONSULTING SERVICES, INC.",2,2,"T.G. MERCER CONSULTING SERVICES, INC.",2
COUNTY OF CLAY,2,2,COUNTY OF CLAY,2
NARDI ASSOCIATES LLP,2,2,NARDI ASSOCIATES LLP,2
COUNTY OF JEFFERSON & MADISON SCHOOL DISTRICT 251,2,2,COUNTY OF JEFFERSON & MADISON SCHOOL DISTRICT 251,2
"T'Z INTERNATIONAL, INC.",2,2,"T'Z INTERNATIONAL, INC.",2
"COUNTY OF MARICOPA, RIVERSIDE SCHOOL DISTRICT #2",2,2,"COUNTY OF MARICOPA, RIVERSIDE SCHOOL DISTRICT #2",2
TECHIZEE INC,4,4,TECHIZEE INC,2
LAWRENCE MEMORIAL HOSPITAL,3,3,LAWRENCE MEMORIAL HOSPITAL,2
VAN HORN HOSPITALITY LLC,2,2,VAN HORN HOSPITALITY LLC,2
HARSHA INVESTMENTS LLC,2,2,HARSHA INVESTMENTS LLC,2
VANBRIDGE LLC,2,2,VANBRIDGE LLC,2
"COUNTY OF SANT CRUZ, NOGALES UNIFIED SCHOOL DISTRICT #1",2,2,"COUNTY OF SANT CRUZ, NOGALES UNIFIED SCHOOL DISTRICT #1",2
VANCE COUNTY SCHOOLS,3,3,VANCE COUNTY SCHOOLS,2
COUNTY OF YAKIMA 200 SCHOOL DISTRICT,4,4,COUNTY OF YAKIMA 200 SCHOOL DISTRICT,2
"TOTANGO, INC.",2,2,"TOTANGO, INC.",2
"LAWSON-BURKE STRUCTURAL ENGINEERS, LLC",2,2,"LAWSON-BURKE STRUCTURAL ENGINEERS, LLC",2
"N.E.E. CONSULTING, LTD.",2,2,"N.E.E. CONSULTING, LTD.",2
INPATIENT SERVICES OF INDIANA,4,6,INPATIENT SERVICES OF INDIANA,2
TOTAL PRODUCTIVE STAFFING,2,2,TOTAL PRODUCTIVE STAFFING,2
"HARRY R. FELDMAN, INC.",2,2,"HARRY R. FELDMAN, INC.",2
"VANDIS, INC.",2,2,"VANDIS, INC.",2
AMERICAN SOCIETY FOR CLINICAL PATHOLOGY,2,2,AMERICAN SOCIETY FOR CLINICAL PATHOLOGY,2
MYRA & ASSOCIATES,2,2,MYRA & ASSOCIATES,2
COURT ALERT INC,2,2,COURT ALERT INC,2
VANTAGE ONCOLOGY LLC,2,2,VANTAGE ONCOLOGY LLC,2
LAXMI NARAYANA CORPORATION,2,2,LAXMI NARAYANA CORPORATION,2
"PALAMIDA, INC.",2,2,"PALAMIDA, INC.",2
COURTSENSE LLC,2,2,COURTSENSE LLC,2
"TECHNIKONS, INC.",2,2,"TECHNIKONS, INC.",2
0965688 BC LTD,2,2,0965688 BC LTD,2
VANTAGEERP LLC,2,5,VANTAGEERP LLC,2
GOLDMAN SACHS REALTY MANAGEMENT LP,3,3,GOLDMAN SACHS REALTY MANAGEMENT LP,2
SYSREPUBLIC INC.,2,2,SYSREPUBLIC INC.,2
ADVENTIST UNIVERSITY OF HEALTH SCIENCES,2,2,ADVENTIST UNIVERSITY OF HEALTH SCIENCES,2
"SYROS PHARMACEUTICALS, INC.",2,2,"SYROS PHARMACEUTICALS, INC.",2
"BEDE USA, INC.",2,2,"BEDE USA, INC.",2
VAP TECHNOLOGY GROUP,2,2,VAP TECHNOLOGY GROUP,2
"COVANEX, INC",3,3,"COVANEX, INC",2
MURPHY GEOMATICS,2,2,MURPHY GEOMATICS,2
"LAZAAL COMMUNICATIONS, INC.",2,2,"LAZAAL COMMUNICATIONS, INC.",2
VARIANTYX INC.,2,2,VARIANTYX INC.,2
"ACADEMY OF MATH AND SCIENCE, INC",2,2,"ACADEMY OF MATH AND SCIENCE, INC",2
"SMARTCARE, INC.",2,2,"SMARTCARE, INC.",2
AMERICAN SOFTWARE CONSULTING INC,2,2,AMERICAN SOFTWARE CONSULTING INC,2
VARIQ CORPORATION,2,2,VARIQ CORPORATION,2
LAZARD MIDDLE MARKET LLC,3,3,LAZARD MIDDLE MARKET LLC,2
"SYNTRON BIORESEARCH, INC.",2,2,"SYNTRON BIORESEARCH, INC.",2
LAZZONI USA INC,2,2,LAZZONI USA INC,2
SYNTHESIS TECHNOLOGY CORP.,2,2,SYNTHESIS TECHNOLOGY CORP.,2
HENDRICK MEDICAL CENTER,2,2,HENDRICK MEDICAL CENTER,2
TECHPRO CONSULTING INC,2,2,TECHPRO CONSULTING INC,2
COVENANT HEALTH SYSTEM,2,2,COVENANT HEALTH SYSTEM,2
"TECHSOPHY, INC",2,2,"TECHSOPHY, INC",2
BEEKAYE INC,2,2,BEEKAYE INC,2
"TORRINGTON FAMILY DENTAL, LLC",2,2,"TORRINGTON FAMILY DENTAL, LLC",2
"LBA HAYNES STRAND, PLLC",2,2,"LBA HAYNES STRAND, PLLC",2
MPFP PLLC,2,2,MPFP PLLC,2
"COVENANT MEDICAL GROUP, INC.",3,3,"COVENANT MEDICAL GROUP, INC.",2
"SYNOPHIA, INC.",2,2,"SYNOPHIA, INC.",2
"INPATIENT MEDICAL SERVICES, INC.",2,2,"INPATIENT MEDICAL SERVICES, INC.",2
"TORO GRANITE, INC.",2,2,"TORO GRANITE, INC.",2
GREEN AND ASSOCIATES,2,2,GREEN AND ASSOCIATES,2
PALM BEACH ATLANTIC UNIVERSITY,2,2,PALM BEACH ATLANTIC UNIVERSITY,2
"COVER & ROSSITER, P.A.",2,2,"COVER & ROSSITER, P.A.",2
VASWANI INC.,2,2,VASWANI INC.,2
"BEENVERIFIED, INC.",2,2,"BEENVERIFIED, INC.",2
"SYNGIN TECHNOLOGY, INC.",2,2,"SYNGIN TECHNOLOGY, INC.",2
COVERIS FLEXIBLES US LLC,2,2,COVERIS FLEXIBLES US LLC,2
"VAUGHAN PHYSICIAN PRACTICES, LLC",2,2,"VAUGHAN PHYSICIAN PRACTICES, LLC",2
COVERKING,3,3,COVERKING,2
THE GLUCK ARCHITECTURAL COLLABORATIVE PC,2,2,THE GLUCK ARCHITECTURAL COLLABORATIVE PC,2
"LC PHARMA OF UVALDE, LLC",2,2,"LC PHARMA OF UVALDE, LLC",2
"VAYU (U.S.), INC.",2,2,"VAYU (U.S.), INC.",2
BEET INC.,2,2,BEET INC.,2
"SYNERGY SOLUTIONS, INC.",4,12,"SYNERGY SOLUTIONS, INC.",2
"COVERMYMEDS, LLC",3,3,"COVERMYMEDS, LLC",2
TEKNISMART SOLUTIONS INC,2,2,TEKNISMART SOLUTIONS INC,2
ACADEMY OF MOTION PICTURE ARTS AND SCIENCES,2,2,ACADEMY OF MOTION PICTURE ARTS AND SCIENCES,2
"VBRIDGE GLOBAL, LLC",3,3,"VBRIDGE GLOBAL, LLC",2
LCD WEALTH MANAGEMENT LLC,2,2,LCD WEALTH MANAGEMENT LLC,2
"TOPQUADRANT, INC.",2,2,"TOPQUADRANT, INC.",2
LCG CONSULTING,2,2,LCG CONSULTING,2
"MOVING ANALYTICS, INC.",2,2,"MOVING ANALYTICS, INC.",2
"LCJ INSURANCE SERVICES, INC.",2,2,"LCJ INSURANCE SERVICES, INC.",2
SYNERGY COMMUNITY PHARMACY LLC,2,2,SYNERGY COMMUNITY PHARMACY LLC,2
"COVERTON, INC.",2,2,"COVERTON, INC.",2
"TOPCON POSITIONING SYSTEMS, INC.",2,2,"TOPCON POSITIONING SYSTEMS, INC.",2
"LCM COMMODITIES, LLC",3,3,"LCM COMMODITIES, LLC",2
TONY TONG PC,3,4,TONY TONG PC,2
"HARRY K. JEUNG, CPA",3,3,"HARRY K. JEUNG, CPA",2
SYNERGIES PLUS LLC,2,2,SYNERGIES PLUS LLC,2
"COVESTRO, LLC",2,2,"COVESTRO, LLC",2
"SYNERGETIC INDUSTRIES, INC.",2,2,"SYNERGETIC INDUSTRIES, INC.",2
COVETIT INC,2,2,COVETIT INC,2
"VECTORGLOBAL WMG, INC.",2,2,"VECTORGLOBAL WMG, INC.",2
"BEHAVIOR SERVICES OF BREVARD, INC.",2,2,"BEHAVIOR SERVICES OF BREVARD, INC.",2
"SYNARC, INC.",3,3,"SYNARC, INC.",2
FREEPORT-MCMORAN CHINO MINES COMPANY,2,2,FREEPORT-MCMORAN CHINO MINES COMPANY,2
"SYNAPTIVE MEDICAL USA, INC.",2,2,"SYNAPTIVE MEDICAL USA, INC.",2
"INPATIENT SERVICES OF FLORIDA, PA",2,2,"INPATIENT SERVICES OF FLORIDA, PA",2
MOORE GROUP CORPORATION,2,2,MOORE GROUP CORPORATION,2
"GREEN CHARGE NETWORKS, LLC",2,2,"GREEN CHARGE NETWORKS, LLC",2
VEDA SYSTEM SOLUTIONS CORP.,2,2,VEDA SYSTEM SOLUTIONS CORP.,2
LDH DENTISTRY PC,2,2,LDH DENTISTRY PC,2
"TENG YUE PARTNERS, LP",2,2,"TENG YUE PARTNERS, LP",2
"LDI TECH OF AMERICA, INC.",2,2,"LDI TECH OF AMERICA, INC.",2
"MONTICELLO CONSULTING GROUP, INC.",2,2,"MONTICELLO CONSULTING GROUP, INC.",2
"GODIVA CHOCOLATIER, INC.",2,2,"GODIVA CHOCOLATIER, INC.",2
"SYNACTIVE, INC.",2,2,"SYNACTIVE, INC.",2
"LDL STUDIO, INC.",2,2,"LDL STUDIO, INC.",2
"SYNACK, INC",2,2,"SYNACK, INC",2
"COWAY USA, INC.",2,2,"COWAY USA, INC.",2
MOLLER INTERNATIONAL,2,2,MOLLER INTERNATIONAL,2
"INPATIENT SPECIALISTS OF CALIFORNIA, P.C.",2,2,"INPATIENT SPECIALISTS OF CALIFORNIA, P.C.",2
"SYMMES, MAINI & MCKEE ASSOCIATES, INC.",2,2,"SYMMES, MAINI & MCKEE ASSOCIATES, INC.",2
"GRYPHON ADVISORS, LLC",2,2,"GRYPHON ADVISORS, LLC",2
"VEEDER-ROOT FUELQUEST, LLC",3,3,"VEEDER-ROOT FUELQUEST, LLC",2
LE MISTRAL LLC,2,2,LE MISTRAL LLC,2
"MOGOTXT, INC.",2,2,"MOGOTXT, INC.",2
"21ST CENTURY ONCOLOGY SERVICES, INC.",2,2,"21ST CENTURY ONCOLOGY SERVICES, INC.",2
MODERNTHINK LLC,2,2,MODERNTHINK LLC,2
"BEHR-HELLA THERMOCONTROL, INC.",2,2,"BEHR-HELLA THERMOCONTROL, INC.",2
SYMBOLIC IO CORPORATION,2,3,SYMBOLIC IO CORPORATION,2
"AMERICAN SUGAR REFINING, INC.",3,3,"AMERICAN SUGAR REFINING, INC.",2
RAND CONSTRUCTION CORPORATION,2,2,RAND CONSTRUCTION CORPORATION,2
"BEICIP, INC.",2,2,"BEICIP, INC.",2
"SYCON INTERNATIONAL, LLC",2,2,"SYCON INTERNATIONAL, LLC",2
COYLE CONTRACTING CORP.,2,2,COYLE CONTRACTING CORP.,2
"SYBRON DENTAL SPECIALTIES, INC.",3,3,"SYBRON DENTAL SPECIALTIES, INC.",2
"CP KELCO U.S., INC.",2,2,"CP KELCO U.S., INC.",2
"MOBIQUITY, INC.",3,3,"MOBIQUITY, INC.",2
"CP MANUFACTURING, INC.",2,2,"CP MANUFACTURING, INC.",2
"TOKYO ELECTRON U.S. HOLDINGS, INC.",2,2,"TOKYO ELECTRON U.S. HOLDINGS, INC.",2
"CPA2BIZ, INC.",2,2,"CPA2BIZ, INC.",2
TMI TRADING CORP.,2,2,TMI TRADING CORP.,2
"ACADEMY, LTD",2,2,"ACADEMY, LTD",2
"TERRACE SOFTWARE, INC.",2,3,"TERRACE SOFTWARE, INC.",2
INNOZA TECH LLC,2,2,INNOZA TECH LLC,2
"MRCT OPERATING COMPANY, LLC",2,2,"MRCT OPERATING COMPANY, LLC",2
HUDSON COSMETICS MFG. CORP.,2,4,HUDSON COSMETICS MFG. CORP.,2
TERRY MEMORIAL HOSPITAL DISTRICT,2,2,TERRY MEMORIAL HOSPITAL DISTRICT,2
"A P VENTURES, LLC",2,2,"A P VENTURES, LLC",2
TEXAS A&M ENGINEERING EXTENSION SERVICE,2,2,TEXAS A&M ENGINEERING EXTENSION SERVICE,2
CPG INTERNATIONAL LLC,2,2,CPG INTERNATIONAL LLC,2
"VELOCITEL, INC.",2,2,"VELOCITEL, INC.",2
"ACADIA PHARMACEUTICALS, INC.",2,2,"ACADIA PHARMACEUTICALS, INC.",2
MMH PHYSICIANS,2,2,MMH PHYSICIANS,2
BELDEN INC.,2,2,BELDEN INC.,2
"SWEEPSTER ATTACHMENTS, LLC",2,2,"SWEEPSTER ATTACHMENTS, LLC",2
"HARRY WINSTON, INC.",2,2,"HARRY WINSTON, INC.",2
"TEXAS AIRSYSTEMS, LLC",2,2,"TEXAS AIRSYSTEMS, LLC",2
"LEADER COMMUNICATIONS, INC.",3,3,"LEADER COMMUNICATIONS, INC.",2
SWAGELOK COMPANY,2,2,SWAGELOK COMPANY,2
BELDEN TRI-STATE BUILDING MATERIALS,2,2,BELDEN TRI-STATE BUILDING MATERIALS,2
VENDAVO INC,2,2,VENDAVO INC,2
CPM GROUP LLC,3,3,CPM GROUP LLC,2
"VENDAVO, INC.",2,2,"VENDAVO, INC.",2
"CPM LTD., INC.",2,2,"CPM LTD., INC.",2
SWABZ SYSTEMS LLC,2,2,SWABZ SYSTEMS LLC,2
ADVIN BIOTECH INC,2,2,ADVIN BIOTECH INC,2
"VENSA TECHNOLOGIES, INC.",2,2,"VENSA TECHNOLOGIES, INC.",2
AMERICAN TECHNOSYS INC,6,6,AMERICAN TECHNOSYS INC,2
SW TECH CORPORATION,2,2,SW TECH CORPORATION,2
GRAND EXPRESS GROUP CORP,2,2,GRAND EXPRESS GROUP CORP,2
TF MEDIA GROUP INC,3,3,TF MEDIA GROUP INC,2
"BELIMO AIRCONTROLS USA, INC.",2,2,"BELIMO AIRCONTROLS USA, INC.",2
TMAX SOFT INC.,2,2,TMAX SOFT INC.,2
LEADERS IN EDUCATION INC.,2,2,LEADERS IN EDUCATION INC.,2
SMART INFORMATION MANAGEMENT SYSTEMS INC,2,2,SMART INFORMATION MANAGEMENT SYSTEMS INC,2
"CPRIME, INC.",2,2,"CPRIME, INC.",2
MINTEC INC.,3,3,MINTEC INC.,2
ACADIA TECHNOLOGIES INC,2,2,ACADIA TECHNOLOGIES INC,2
STANADYNE LLC,2,2,STANADYNE LLC,2
"BELLA FABRICS, LLC",2,2,"BELLA FABRICS, LLC",2
"THE ARNOLD GROUP, LLC",2,2,"THE ARNOLD GROUP, LLC",2
BELLA SMILES PLLC,2,2,BELLA SMILES PLLC,2
VENTION MEDICAL INC.,2,2,VENTION MEDICAL INC.,2
"HUDSON INFECTIOUS DISEASE ASSOCIATES, P.C.",2,2,"HUDSON INFECTIOUS DISEASE ASSOCIATES, P.C.",2
"THE BANK OF EAST ASIA, LIMITED",3,3,"THE BANK OF EAST ASIA, LIMITED",2
"A PLACE FOR MOM, INC.",2,2,"A PLACE FOR MOM, INC.",2
"MSA PARTNERS, LLC",3,3,"MSA PARTNERS, LLC",2
CRAFTED HOME NY LLC,2,2,CRAFTED HOME NY LLC,2
"SV MEDITRANS, INC. DBA SVMT, INC.",2,2,"SV MEDITRANS, INC. DBA SVMT, INC.",2
"BELLE FOUNTAIN REHABILITATION AND NURSING CENTER, INC.",3,3,"BELLE FOUNTAIN REHABILITATION AND NURSING CENTER, INC.",2
"THE BON-TON STORES, INC.",2,2,"THE BON-TON STORES, INC.",2
"CRANDALL ENGINEERING, INC.",2,2,"CRANDALL ENGINEERING, INC.",2
VENUS LABORATORIES INC,2,2,VENUS LABORATORIES INC,2
"LEADING PHARMA, LLC",2,2,"LEADING PHARMA, LLC",2
SUZER AIN CORP,2,2,SUZER AIN CORP,2
HUDSON PRODUCTS CORPORATION,2,2,HUDSON PRODUCTS CORPORATION,2
"SUTHERLAND GLOBAL SERVICES, INC.",2,2,"SUTHERLAND GLOBAL SERVICES, INC.",2
"BELLIN MEMORIAL HOSPITAL, INC.",2,2,"BELLIN MEMORIAL HOSPITAL, INC.",2
"VEQTOR, LLC",2,2,"VEQTOR, LLC",2
"GALEN TECHNOLOGY SOLUTIONS, INC.",2,2,"GALEN TECHNOLOGY SOLUTIONS, INC.",2
VERA INSTITUTE OF JUSTICE,3,3,VERA INSTITUTE OF JUSTICE,2
"CRAWFORD, MURPHY & TILLY, INC.",2,2,"CRAWFORD, MURPHY & TILLY, INC.",2
"MIN YOUNG SONG CPA, PC",2,2,"MIN YOUNG SONG CPA, PC",2
"CRAY, INC.",2,2,"CRAY, INC.",2
SUTTER PHYSICIAN SERVICES,2,2,SUTTER PHYSICIAN SERVICES,2
AMERICAN UNIVERSITY OF HEALTH SCIENCES FOUNDATION,2,2,AMERICAN UNIVERSITY OF HEALTH SCIENCES FOUNDATION,2
"SUTRO BIOPHARMA, INC.",2,2,"SUTRO BIOPHARMA, INC.",2
BELLTECH LLC,2,2,BELLTECH LLC,2
"SUTONG CHINA TIRE RESOURCES, INC.",2,2,"SUTONG CHINA TIRE RESOURCES, INC.",2
"BELLUS 3D, INC.",2,2,"BELLUS 3D, INC.",2
THE BOSTON RED SOX,3,3,THE BOSTON RED SOX,2
"ACADIAN ASSET MANAGEMENT, LLC",2,2,"ACADIAN ASSET MANAGEMENT, LLC",2
VERBGENIUS INC,3,3,VERBGENIUS INC,2
"LEAGUE IT SOLUTIONS, LLC",2,10,"LEAGUE IT SOLUTIONS, LLC",2
VERBGENIUS INC.,2,2,VERBGENIUS INC.,2
AMERICAN VANGUARD CORPORATION,2,2,AMERICAN VANGUARD CORPORATION,2
OCI ENTERPRISES INC.,3,3,OCI ENTERPRISES INC.,2
BELMONT BEHAVIORAL HOSPITAL LLC,2,2,BELMONT BEHAVIORAL HOSPITAL LLC,2
"SCHOOL IN THE HILLS, INC.",2,2,"SCHOOL IN THE HILLS, INC.",2
"CREATION TECHNOLOGIES SAN JOSE, INC.",2,2,"CREATION TECHNOLOGIES SAN JOSE, INC.",2
"MILA'S DEBUT SCHOOL OF MUSIC, LLC.",2,2,"MILA'S DEBUT SCHOOL OF MUSIC, LLC.",2
"CREATIVE ARTISTS AGENCY, LLC",2,2,"CREATIVE ARTISTS AGENCY, LLC",2
VERILY LIFE SCIENCE LLC,2,2,VERILY LIFE SCIENCE LLC,2
"ADVIZEX TECHNOLOGIES, LLC",3,3,"ADVIZEX TECHNOLOGIES, LLC",2
THE BROOKLYN WALDORF SCHOOL,2,2,THE BROOKLYN WALDORF SCHOOL,2
ADVOCARE LLC,2,2,ADVOCARE LLC,2
"THE CARTOON NETWORK, INC.",2,2,"THE CARTOON NETWORK, INC.",2
3J INTERNATIONAL LTD. CO.,2,2,3J INTERNATIONAL LTD. CO.,2
RAO GROUP,2,2,RAO GROUP,2
ADVOCATE,2,2,ADVOCATE,2
THE BOX BRANDS INC.,2,2,THE BOX BRANDS INC.,2
"CREATIVE LABS, INC.",2,2,"CREATIVE LABS, INC.",2
THE CHAINARY INC.,2,2,THE CHAINARY INC.,2
